movable_object.trafficcone,human.pedestrian.adult,vehicle.car,movable_object.pushable_pullable,movable_object.barrier,vehicle.bus.rigid,vehicle.truck,vehicle.motorcycle,vehicle.bicycle,human.pedestrian.construction_worker,vehicle.construction,vehicle.trailer,human.pedestrian.personal_mobility,movable_object.debris,static_object.bicycle_rack,human.pedestrian.police_officer,human.pedestrian.child,vehicle.bus.bendy,human.pedestrian.wheelchair,human.pedestrian.stroller,animal,vehicle.emergency.police,vehicle.ego,vehicle.emergency.ambulance,Search Query,Search Method
11,26,38,1,8,2,14,4,4,2,3,0,0,1,1,0,0,0,0,0,1,0,0,0,Text Query:None Negation Query:['traffic cone'],Post Retrieval Filteration
23,39,63,2,14,5,29,16,10,5,7,2,0,5,3,0,1,1,0,0,0,0,0,0,Text Query:None Negation Query:['adult'],Post Retrieval Filteration
2,17,16,0,4,2,4,2,8,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,Text Query:None Negation Query:['car'],Post Retrieval Filteration
11,40,50,1,14,1,8,18,13,3,3,0,0,3,4,0,3,0,0,1,0,0,0,0,Text Query:None Negation Query:['truck'],Post Retrieval Filteration
14,30,32,0,14,2,12,3,3,7,3,1,1,3,1,1,0,0,0,0,0,0,0,0,Text Query:None Negation Query:['motorcycle'],Post Retrieval Filteration
12,19,38,1,11,0,15,2,2,1,1,2,0,0,1,1,0,0,0,0,1,0,0,0,Text Query:None Negation Query:['bicycle'],Post Retrieval Filteration
10,17,47,1,8,1,13,7,5,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,Text Query:None Negation Query:['construction worker'],Post Retrieval Filteration
2,2,14,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Text Query:None Negation Query:['construction'],Post Retrieval Filteration
20,39,61,3,15,3,17,16,14,5,3,1,0,4,3,0,3,0,0,1,1,0,0,0,Text Query:None Negation Query:['trailer'],Post Retrieval Filteration
21,30,55,1,16,7,21,9,3,3,5,4,0,2,0,0,1,1,0,0,1,0,0,0,Text Query:None Negation Query:['bicycle rack'],Post Retrieval Filteration
10,19,31,0,14,2,9,6,10,5,7,0,0,3,3,1,0,0,0,0,0,0,0,0,Text Query:None Negation Query:['police officer'],Post Retrieval Filteration
24,35,63,3,15,5,26,19,5,7,7,2,0,5,2,0,1,1,0,0,0,0,0,0,Text Query:None Negation Query:['child'],Post Retrieval Filteration
23,34,60,3,16,3,24,16,6,4,4,2,0,6,2,0,2,1,0,0,1,0,0,0,Text Query:None Negation Query:['stroller'],Post Retrieval Filteration
27,42,78,3,16,5,32,16,11,6,6,4,1,4,1,0,3,1,0,1,1,0,0,0,Text Query:None Negation Query:['animal'],Post Retrieval Filteration
7,28,13,1,3,1,4,3,12,0,1,0,2,0,2,1,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['police car'],Post Retrieval Filteration
17,32,50,2,16,2,14,15,13,5,4,0,0,3,3,1,2,0,0,1,0,0,0,0,Text Query:None Negation Query:['ambulance'],Post Retrieval Filteration
