movable_object.trafficcone,human.pedestrian.adult,vehicle.car,movable_object.pushable_pullable,movable_object.barrier,vehicle.bus.rigid,vehicle.truck,vehicle.motorcycle,vehicle.bicycle,human.pedestrian.construction_worker,vehicle.construction,vehicle.trailer,human.pedestrian.personal_mobility,movable_object.debris,static_object.bicycle_rack,human.pedestrian.police_officer,human.pedestrian.child,vehicle.bus.bendy,human.pedestrian.wheelchair,human.pedestrian.stroller,animal,vehicle.emergency.police,vehicle.ego,vehicle.emergency.ambulance,Search Query,Search Method
10,62,56,4,0,6,12,6,48,2,0,0,46,1,32,1,1,0,0,1,0,0,0,0,Text Query:['adult'] Negation Query:['traffic cone'],Vector-Arithmetics MAG 1.0
13,11,45,1,9,1,78,5,2,3,2,36,0,0,0,0,0,2,0,1,0,0,0,0,Text Query:['truck'] Negation Query:['car'],Vector-Arithmetics MAG 1.0
11,27,32,2,7,3,7,6,84,6,0,0,0,1,5,0,0,0,0,0,0,0,0,0,Text Query:['bicycle'] Negation Query:['motorcycle'],Vector-Arithmetics MAG 1.0
13,25,40,7,15,5,11,6,12,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,Text Query:['construction'] Negation Query:['construction worker'],Vector-Arithmetics MAG 1.0
1,21,47,0,0,2,6,3,10,0,1,2,0,0,81,0,0,0,0,0,0,1,0,0,Text Query:['bicycle rack'] Negation Query:['trailer'],Vector-Arithmetics MAG 1.0
14,28,29,9,7,4,7,6,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Text Query:['child'] Negation Query:['police officer'],Vector-Arithmetics MAG 1.0
23,37,43,0,5,7,17,13,9,3,3,4,2,2,0,0,0,0,0,0,1,0,0,0,Text Query:['animal'] Negation Query:['stroller'],Vector-Arithmetics MAG 1.0
34,32,58,2,13,18,47,8,7,3,3,7,0,1,2,0,1,0,0,0,0,0,0,7,Text Query:['ambulance'] Negation Query:['police car'],Vector-Arithmetics MAG 1.0
16,36,83,2,8,7,38,7,5,1,1,4,1,0,5,0,1,1,0,0,0,0,0,0,Text Query:['car'] Negation Query:['adult'],Vector-Arithmetics MAG 1.0
46,36,35,10,54,3,18,9,8,88,40,2,0,4,0,0,0,0,0,0,0,0,0,0,Text Query:['construction worker'] Negation Query:['truck'],Vector-Arithmetics MAG 1.0
17,47,71,6,9,13,37,6,6,5,0,12,1,0,2,23,0,0,0,0,1,12,0,0,Text Query:['police officer'] Negation Query:['bicycle'],Vector-Arithmetics MAG 1.0
94,45,66,6,54,8,43,22,8,21,24,1,0,14,0,0,1,1,0,0,0,0,0,0,Text Query:['traffic cone'] Negation Query:['child'],Vector-Arithmetics MAG 1.0
12,89,70,17,1,9,18,8,5,0,0,3,0,1,7,0,23,0,0,66,1,0,0,0,Text Query:['stroller'] Negation Query:['bicycle rack'],Vector-Arithmetics MAG 1.0
11,42,51,0,16,4,14,81,6,5,11,1,0,3,3,0,2,0,0,0,0,0,0,0,Text Query:['motorcycle'] Negation Query:['animal'],Vector-Arithmetics MAG 1.0
10,38,80,5,20,21,23,8,7,4,3,6,0,0,4,1,3,0,0,0,0,62,0,0,Text Query:['police car'] Negation Query:['construction'],Vector-Arithmetics MAG 1.0
