movable_object.trafficcone,human.pedestrian.adult,vehicle.car,movable_object.pushable_pullable,movable_object.barrier,vehicle.bus.rigid,vehicle.truck,vehicle.motorcycle,vehicle.bicycle,human.pedestrian.construction_worker,vehicle.construction,vehicle.trailer,human.pedestrian.personal_mobility,movable_object.debris,static_object.bicycle_rack,human.pedestrian.police_officer,human.pedestrian.child,vehicle.bus.bendy,human.pedestrian.wheelchair,human.pedestrian.stroller,animal,vehicle.emergency.police,vehicle.ego,vehicle.emergency.ambulance,Search Query,Search Method
41,64,75,4,15,13,40,14,21,11,8,1,1,3,10,1,3,1,1,1,0,0,0,0,Text Query:None Negation Query:['traffic cone'],Vector-Arithmetics MAG 0
13,56,34,1,5,2,15,11,15,5,3,2,4,2,9,0,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['adult'],Vector-Arithmetics MAG 0
21,35,23,2,6,0,7,0,13,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Text Query:None Negation Query:['car'],Vector-Arithmetics MAG 0
24,56,67,4,10,10,31,17,10,8,6,2,2,0,3,0,2,0,0,0,0,0,0,0,Text Query:None Negation Query:['truck'],Vector-Arithmetics MAG 0
30,30,37,5,14,6,24,9,7,7,6,0,0,1,3,0,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['motorcycle'],Vector-Arithmetics MAG 0
29,37,45,1,11,5,18,5,9,3,2,6,1,0,3,0,0,0,0,0,0,1,0,0,Text Query:None Negation Query:['bicycle'],Vector-Arithmetics MAG 0
11,32,34,1,9,3,16,11,8,5,9,1,0,4,2,0,1,0,0,0,0,0,0,0,Text Query:None Negation Query:['construction worker'],Vector-Arithmetics MAG 0
17,45,50,3,11,5,17,24,9,2,3,0,1,0,2,1,2,0,0,0,0,0,0,0,Text Query:None Negation Query:['construction'],Vector-Arithmetics MAG 0
32,46,73,6,17,13,30,20,21,10,8,4,0,0,3,0,2,1,0,1,0,0,0,0,Text Query:None Negation Query:['trailer'],Vector-Arithmetics MAG 0
15,29,35,2,14,2,17,7,9,1,3,0,0,2,3,0,2,0,0,0,1,0,0,0,Text Query:None Negation Query:['bicycle rack'],Vector-Arithmetics MAG 0
32,43,35,4,13,1,21,9,10,6,3,2,0,2,4,1,1,0,0,1,0,0,0,0,Text Query:None Negation Query:['police officer'],Vector-Arithmetics MAG 0
51,34,80,4,56,5,42,14,4,21,27,5,0,8,0,0,0,1,0,0,0,0,0,0,Text Query:None Negation Query:['child'],Vector-Arithmetics MAG 0
48,59,87,3,23,13,49,19,10,11,12,4,0,2,3,1,2,0,0,1,0,0,0,0,Text Query:None Negation Query:['stroller'],Vector-Arithmetics MAG 0
17,39,73,3,7,13,24,8,10,1,3,3,0,1,2,1,0,0,0,0,0,0,0,0,Text Query:None Negation Query:['animal'],Vector-Arithmetics MAG 0
27,37,26,1,4,2,8,13,6,5,0,0,2,2,4,0,0,0,0,0,2,0,0,0,Text Query:None Negation Query:['police car'],Vector-Arithmetics MAG 0
7,11,38,0,7,1,6,7,12,1,2,0,0,1,1,0,0,0,0,1,2,0,0,0,Text Query:None Negation Query:['ambulance'],Vector-Arithmetics MAG 0
